Home team,Away team,Half time score,Full time score
Cardiff,Middlesbrough,0-0,0-2
Arsenal,Brighton Hove,1-0,1-1
Burnley,Blackburn,1-1,1-1
Coventry City,Norwich,0-0,0-1
Bochum,M'gladbach,0-0,0-2
Bremen,Dortmund,None-None,0-0
Stuttgart,Mainz,2-1,3-3
Holstein Kiel,Wolfsburg,0-2,0-2
Frankfurt,Hoffenheim,2-0,3-1
Oxford United,Preston NE,1-1,3-1
Everton,Bournemouth,0-0,2-3
Portsmouth,Sunderland,0-1,1-3
Leeds United,Hull City,0-0,2-0
Leicester City,Aston Villa,0-1,1-2
West Brom,Swansea,1-0,1-0
Brentford,Southampton,1-0,3-1
Plymouth Arg,Stoke,0-0,0-1
Nottingham,Wolverhampton,1-1,1-1
Derby County,Bristol City,1-0,3-0
Ipswich Town,Fulham,1-1,1-1
Millwall,Sheffield Wed,0-0,3-0
Santa Clara,AVS,1-1,2-1
Almere City,Groningen,1-0,1-1
Barça,Valladolid,3-0,7-0
Brest,Saint-Étienne,2-0,4-0
Leverkusen,RB Leipzig,2-1,2-3
West Ham,Man City,1-2,1-3
Bologna,Empoli,1-1,1-1
Lecce,Cagliari,1-0,1-0
Sittard,NEC,0-2,0-3
Boavista,Estoril Praia,None-None,0-0
Athletic,Atleti,0-0,0-1
Montpellier,Nantes,1-2,1-3
Amadora,Casa Pia,0-0,0-1
Espanyol,Rayo Vallecano,1-1,2-1
Heerenveen,NAC,0-0,4-0
Napoli,Parma,0-1,2-1
Lazio,Milan,0-1,2-2
Willem II,Sparta,0-0,1-2
Toulouse,Marseille,0-2,1-3
Leganés,Mallorca,0-1,0-1
Sporting CP,Porto,0-0,2-0
Valencia,Villarreal,1-1,1-1
Cuiabá EC,Criciúma,0-1,2-1
Botafogo,Fortaleza,0-0,2-0
Feyenoord,Ajax,None-None,None-None
Utrecht,Twente,1-1,2-1
Newcastle,Tottenham,1-0,2-1
Zwolle,Heracles,1-0,3-0
Chelsea,Crystal Palace,1-0,1-1
Monaco,RC Lens,0-0,1-1
Heidenheim,Augsburg,2-0,4-0
Cruzeiro,AC Goianiense,2-1,3-1
Grêmio,Mineiro,2-0,2-3
Sheffield Utd,Watford,1-0,1-0
CD Nacional,Farense,1-0,2-0
PSV,Go Ahead,2-0,3-0
Angers SCO,Nice,0-2,1-4
Le Havre,Auxerre,1-1,3-1
Man United,Liverpool,0-2,0-3
Osasuna,Celta,2-1,3-2
Alavés,Las Palmas,1-0,2-0
Stade de Reims,Stade Rennais,1-1,2-1
Bayern,Freiburg,1-0,2-0
Genoa,Verona,0-0,0-2
Fiorentina,Monza,1-2,2-2
Sevilla FC,Girona,0-1,0-2
Rio Ave,Arouca,1-0,1-0
Getafe,Real Sociedad,0-0,0-0
Lille,PSG,0-2,1-3
Udinese,Como 1907,1-0,1-0
Juventus,Roma,0-0,0-0
Corinthians,Flamengo,1-1,2-1
Real Madrid,Real Betis,0-0,2-0
Gil Vicente,Braga,0-0,0-0
Vitória SC,Famalicão,1-1,2-1
Fluminense,São Paulo,1-0,2-0
Bragantino,Bahia,0-0,2-1
Juventude,Internacional,0-2,1-3
Paranaense,Palmeiras,0-1,0-2
Vitória,Vasco da Gama,0-0,0-1
Cuiabá EC,Juventude,None-None,None-None
